method,experiment_type,experiment_variant,dataset_direction,model,brier_before,brier_after,ece_before,ece_after,mce_before,mce_after,brier_delta,ece_delta,mce_delta,experiment_id,n,brier_win,ece_win,mce_win,all_win,any_degrade,outcome,failure_category,model_family
platt,external_kaggle_uci,cfs,kaggle__to__cleveland,rf,0.272684,0.243908,0.184699,0.025150,0.310159,0.025150,-0.028776,-0.159550,-0.285009,external_kaggle_uci__cfs__kaggle__to__cleveland__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__cleveland,xgb,0.275072,0.241783,0.201068,0.080274,0.409095,0.085384,-0.033289,-0.120794,-0.323712,external_kaggle_uci__cfs__kaggle__to__cleveland__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__hungary,lgbm,0.304626,0.226724,0.236992,0.010846,0.509065,0.026559,-0.077902,-0.226147,-0.482506,external_kaggle_uci__cfs__kaggle__to__hungary__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__hungary,lr,0.280204,0.225260,0.219915,0.042160,0.545472,0.052551,-0.054944,-0.177755,-0.492921,external_kaggle_uci__cfs__kaggle__to__hungary__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs,kaggle__to__hungary,rf,0.290648,0.226673,0.230966,0.033752,0.438482,0.067509,-0.063975,-0.197214,-0.370972,external_kaggle_uci__cfs__kaggle__to__hungary__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__hungary,xgb,0.304546,0.226451,0.242574,0.022454,0.903922,0.048060,-0.078095,-0.220120,-0.855862,external_kaggle_uci__cfs__kaggle__to__hungary__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__switzerland,lgbm,0.307243,0.075245,0.390332,0.031836,0.963850,0.031836,-0.231998,-0.358496,-0.932014,external_kaggle_uci__cfs__kaggle__to__switzerland__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__switzerland,lr,0.292223,0.075122,0.390751,0.031626,0.833126,0.031626,-0.217101,-0.359125,-0.801500,external_kaggle_uci__cfs__kaggle__to__switzerland__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs,kaggle__to__switzerland,rf,0.278399,0.075238,0.374242,0.031721,0.839650,0.031721,-0.203161,-0.342521,-0.807929,external_kaggle_uci__cfs__kaggle__to__switzerland__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__switzerland,xgb,0.291270,0.075198,0.373230,0.031860,0.952957,0.031860,-0.216072,-0.341370,-0.921097,external_kaggle_uci__cfs__kaggle__to__switzerland__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__va,lgbm,0.252084,0.261917,0.192505,0.189040,0.376892,0.189040,0.009833,-0.003465,-0.187852,external_kaggle_uci__cfs__kaggle__to__va__lgbm.json,1,False,True,True,False,True,neutral,neutral,tree
platt,external_kaggle_uci,cfs,kaggle__to__va,lr,0.223299,0.261031,0.148426,0.188628,0.279275,0.188628,0.037732,0.040202,-0.090647,external_kaggle_uci__cfs__kaggle__to__va__lr.json,1,False,False,True,False,True,degraded,brier_degraded|ece_degraded,linear
platt,external_kaggle_uci,cfs,kaggle__to__va,rf,0.228270,0.261794,0.129338,0.188922,0.393003,0.188922,0.033523,0.059583,-0.204082,external_kaggle_uci__cfs__kaggle__to__va__rf.json,1,False,False,True,False,True,degraded,brier_degraded|ece_degraded|ece_severe,tree
platt,external_kaggle_uci,cfs,kaggle__to__va,xgb,0.262105,0.263727,0.186929,0.190183,0.506031,0.190183,0.001622,0.003253,-0.315848,external_kaggle_uci__cfs__kaggle__to__va__xgb.json,1,False,False,True,False,True,neutral,neutral,tree
platt,external_kaggle_uci,cfs,switzerland__to__kaggle,lgbm,0.460067,0.246816,0.461263,0.014332,0.481517,0.203180,-0.213251,-0.446932,-0.278338,external_kaggle_uci__cfs__switzerland__to__kaggle__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,switzerland__to__kaggle,lr,0.455599,0.246279,0.455198,0.032158,0.455198,0.351318,-0.209320,-0.423040,-0.103880,external_kaggle_uci__cfs__switzerland__to__kaggle__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs,switzerland__to__kaggle,rf,0.249518,0.236920,0.102259,0.020478,0.306490,0.094658,-0.012597,-0.081781,-0.211832,external_kaggle_uci__cfs__switzerland__to__kaggle__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,switzerland__to__kaggle,xgb,0.461902,0.249611,0.458185,0.031115,0.524851,0.232646,-0.212290,-0.427070,-0.292206,external_kaggle_uci__cfs__switzerland__to__kaggle__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,va__to__kaggle,lgbm,0.278163,0.232904,0.213904,0.065042,0.302139,0.155570,-0.045259,-0.148862,-0.146569,external_kaggle_uci__cfs__va__to__kaggle__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,va__to__kaggle,lr,0.276106,0.238427,0.183716,0.054810,0.502760,0.224983,-0.037680,-0.128905,-0.277777,external_kaggle_uci__cfs__va__to__kaggle__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs,va__to__kaggle,rf,0.232303,0.219901,0.065334,0.071296,0.241543,0.140832,-0.012402,0.005962,-0.100711,external_kaggle_uci__cfs__va__to__kaggle__rf.json,1,True,False,True,False,True,improved,success,tree
platt,external_kaggle_uci,cfs,va__to__kaggle,xgb,0.267872,0.238840,0.202958,0.063560,0.454093,0.800468,-0.029032,-0.139397,0.346375,external_kaggle_uci__cfs__va__to__kaggle__xgb.json,1,True,True,False,False,True,improved,success,tree
platt,external_uci,,cleveland+hungary+switzerland__to__va,lgbm,0.191145,0.245870,0.108475,0.185274,0.253585,0.427050,0.054725,0.076799,0.173465,external_uci__cleveland+hungary+switzerland__to__va__lgbm.json,1,False,False,False,False,True,degraded,brier_degraded|ece_degraded|ece_severe|mce_degraded|mce_severe,tree
platt,external_uci,,cleveland+hungary+switzerland__to__va,lr,0.186701,0.239995,0.121367,0.186969,0.276775,0.699929,0.053293,0.065602,0.423154,external_uci__cleveland+hungary+switzerland__to__va__lr.json,1,False,False,False,False,True,degraded,brier_degraded|ece_degraded|ece_severe|mce_degraded|mce_severe,linear
platt,external_uci,,cleveland+hungary+switzerland__to__va,rf,0.176358,0.240431,0.079225,0.184424,0.251293,0.401899,0.064073,0.105199,0.150605,external_uci__cleveland+hungary+switzerland__to__va__rf.json,1,False,False,False,False,True,degraded,brier_degraded|ece_degraded|ece_severe|mce_degraded|mce_severe,tree
platt,external_uci,,cleveland+hungary+switzerland__to__va,xgb,0.205991,0.253116,0.118897,0.188471,0.339558,0.331733,0.047124,0.069573,-0.007825,external_uci__cleveland+hungary+switzerland__to__va__xgb.json,1,False,False,True,False,True,degraded,brier_degraded|ece_degraded|ece_severe,tree
platt,external_uci,,cleveland+hungary+va__to__switzerland,lgbm,0.202972,0.073869,0.327033,0.029435,0.666698,0.029435,-0.129103,-0.297599,-0.637264,external_uci__cleveland+hungary+va__to__switzerland__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_uci,,cleveland+hungary+va__to__switzerland,lr,0.198139,0.073988,0.325376,0.030196,0.634427,0.030196,-0.124151,-0.295180,-0.604231,external_uci__cleveland+hungary+va__to__switzerland__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_uci,,cleveland+hungary+va__to__switzerland,rf,0.184268,0.073609,0.322440,0.030046,0.657304,0.030046,-0.110658,-0.292394,-0.627258,external_uci__cleveland+hungary+va__to__switzerland__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_uci,,cleveland+hungary+va__to__switzerland,xgb,0.200732,0.073680,0.327810,0.029643,0.630258,0.029643,-0.127052,-0.298167,-0.600614,external_uci__cleveland+hungary+va__to__switzerland__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_uci,,cleveland+switzerland+va__to__hungary,lgbm,0.217129,0.160071,0.250689,0.139455,0.402791,0.174295,-0.057059,-0.111234,-0.228495,external_uci__cleveland+switzerland+va__to__hungary__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_uci,,cleveland+switzerland+va__to__hungary,lr,0.194910,0.147065,0.258732,0.165158,0.466103,0.293096,-0.047845,-0.093574,-0.173007,external_uci__cleveland+switzerland+va__to__hungary__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_uci,,cleveland+switzerland+va__to__hungary,rf,0.166508,0.143998,0.184661,0.151779,0.282383,0.267960,-0.022509,-0.032881,-0.014422,external_uci__cleveland+switzerland+va__to__hungary__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_uci,,cleveland+switzerland+va__to__hungary,xgb,0.221402,0.166842,0.248056,0.108237,0.442840,0.216911,-0.054560,-0.139819,-0.225929,external_uci__cleveland+switzerland+va__to__hungary__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_uci,,cleveland__to__hungary,lgbm,0.158929,0.137422,0.162981,0.134220,0.572645,0.296525,-0.021506,-0.028761,-0.276120,external_uci__cleveland__to__hungary__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_uci,,cleveland__to__hungary,lr,0.455337,0.198158,0.514474,0.174615,0.735020,0.281066,-0.257179,-0.339859,-0.453954,external_uci__cleveland__to__hungary__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_uci,,cleveland__to__hungary,rf,0.163525,0.138941,0.195728,0.137640,0.474050,0.357303,-0.024585,-0.058088,-0.116747,external_uci__cleveland__to__hungary__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_uci,,cleveland__to__hungary,xgb,0.165488,0.141305,0.166984,0.105766,0.536932,0.267040,-0.024183,-0.061218,-0.269892,external_uci__cleveland__to__hungary__xgb.json,1,True,True,True,True,False,improved,success,tree
